# PC_PaymentChannelName codes — Sambat "Payment Channel Code.xlsx" (received 2026-08-31).
# Sheet 3 (Id / Payment channel code / Bank). Sambat: "use only #12 for now"
# (= BANK / HATTHA BANK PLC -> los.const.payment-channel-name=12); per-customer
# bank mapping from this list comes later. Kept in-repo for review; deliberately
# NOT seeded into pdl_code_list, which refresh() rebuilds from Sambat endpoints
# and would silently wipe.
id,channel,bank
1,EWALLET,U-PAY DIGITAL PLC
2,EWALLET,E-MONEY PAYMENT SOLUTION PLC
3,EWALLET,LY HOUR PAY PRO PLC
4,EWALLET,TRUE MONEY (CAMBODIA) PLC
5,BANK,KB PRASAC BANK PLC
6,BANK,HENG FENG (CAMBODIA) BANK PLC
7,BANK,BRIDGE BANK PLC
8,BANK,ORIENTAL BANK PLC
9,BANK,WOORI BANK (CAMBODIA) PLC
10,BANK,WING BANK (CAMBODIA) PLC
11,BANK,DGB BANK PLC
12,BANK,HATTHA BANK PLC
13,BANK,SBI LY HOUR BANK PLC
14,BANK,AGRICULTURAL AND RURAL DEVELOPMENT BANK
15,BANK,PANDA COMMERCIAL BANK PLC
16,BANK,ASIA- PACIFIC DEVELOPMENT BANK PLC
17,BANK,CHIP MONG COMMERCIAL BANK PLC
18,BANK,PRINCE BANK PLC
19,BANK,B.I.C (CAMBODIA) BANK PLC
20,BANK,CHIEF (CAMBODIA) COMMERCIAL BANK PLC
21,BANK,BRED BANK (CAMBODIA) PLC
22,BANK,PHILLIP BANK PLC
23,BANK,UNION COMMERCIAL BANK PLC
24,BANK,"CATHAY UNITED BANK (CAMBODIA) CORP, LTD"
25,BANK,HONG LEONG BANK ( CAMBODIA) PLC
26,BANK,CIMB BANK PLC
27,BANK,RHB BANK (CAMBODIA) PLC
28,BANK,SHINHAN BANK (CAMBODIA) PLC
29,BANK,J TRUST ROYAL BANK PLC
30,BANK,MAYBANK (CAMBODIA) PLC
31,BANK,CAMBODIAN PUBLIC BANK PLC
32,BANK,CAMBODIA POST BANK PLC
33,BANK,PHNOM PENH COMMERCIAL BANK PLC
34,BANK,SATHAPANA BANK PLC
35,BANK,ACLEDA BANK PLC
36,BANK,CANADIA BANK PLC
37,BANK,CAMBODIA ASIA BANK LTD
38,BANK,ADVANCED BANK OF ASIA LIMITED
39,BANK,VATTANAC BANK
40,BANK,FOREIGN TRADE BANK OF CAMBODIA
41,BANK,MB BANK (CAMBODIA) PLC
42,CHEQUE,KB PRASAC BANK PLC
43,CHEQUE,HENG FENG (CAMBODIA) BANK PLC
44,CHEQUE,BRIDGE BANK PLC
45,CHEQUE,ORIENTAL BANK PLC
46,CHEQUE,WOORI BANK (CAMBODIA) PLC
47,CHEQUE,WING BANK (CAMBODIA) PLC
48,CHEQUE,DGB BANK PLC
49,CHEQUE,HATTHA BANK PLC
50,CHEQUE,SBI LY HOUR BANK PLC
51,CHEQUE,AGRICULTURAL AND RURAL DEVELOPMENT BANK
52,CHEQUE,PANDA COMMERCIAL BANK PLC
53,CHEQUE,ASIA- PACIFIC DEVELOPMENT BANK PLC
54,CHEQUE,CHIP MONG COMMERCIAL BANK PLC
55,CHEQUE,PRINCE BANK PLC
56,CHEQUE,B.I.C (CAMBODIA) BANK PLC
57,CHEQUE,CHIEF (CAMBODIA) COMMERCIAL BANK PLC
58,CHEQUE,BRED BANK (CAMBODIA) PLC
59,CHEQUE,PHILLIP BANK PLC
60,CHEQUE,UNION COMMERCIAL BANK PLC
61,CHEQUE,"CATHAY UNITED BANK (CAMBODIA) CORP, LTD"
62,CHEQUE,HONG LEONG BANK ( CAMBODIA) PLC
63,CHEQUE,CIMB BANK PLC
64,CHEQUE,RHB BANK (CAMBODIA) PLC
65,CHEQUE,SHINHAN BANK (CAMBODIA) PLC
66,CHEQUE,J TRUST ROYAL BANK PLC
67,CHEQUE,MAYBANK (CAMBODIA) PLC
68,CHEQUE,CAMBODIAN PUBLIC BANK PLC
69,CHEQUE,CAMBODIA POST BANK PLC
70,CHEQUE,PHNOM PENH COMMERCIAL BANK PLC
71,CHEQUE,SATHAPANA BANK PLC
72,CHEQUE,ACLEDA BANK PLC
73,CHEQUE,CANADIA BANK PLC
74,CHEQUE,CAMBODIA ASIA BANK LTD
75,CHEQUE,ADVANCED BANK OF ASIA LIMITED
76,CHEQUE,VATTANAC BANK
77,CHEQUE,FOREIGN TRADE BANK OF CAMBODIA
78,CHEQUE,MB BANK (CAMBODIA) PLC
